financials.Country,financials.COGS,financials.Discount Band,Sum(financials. Sales),Sum(financials.Profit)
Canada,1940,High,0,395.7600000000002
Canada,3615,High,0,686.8500000000001
Canada,3840,High,0,1286.3999999999999
Canada,5811,High,0,14876.16
Canada,6327,High,0,15944.04
Canada,6666,High,0,16265.04
Canada,8283,High,0,20873.16
Canada,8655,High,0,6058.5
Canada,9040,High,0,2223.84
Canada,10561.5,High,0,27459.899999999998
Canada,12078,High,0,30919.68
Canada,12490,High,0,18485.199999999997
Canada,13670,High,0,6342.879999999997
Canada,15600,High,0,5226
Canada,15650,High,0,9546.5
Canada,16140,High,0,4438.5
Canada,17430,High,0,10109.400000000001
Canada,23000,High,0,13340
Canada,23940,High,0,18673.199999999997
Canada,24280,High,0,17481.6
Canada,24700,High,0,7163
Canada,25590,High,0,7037.25
Canada,26890,High,0,8604.800000000003
Canada,29350,High,0,22893
Canada,52000,High,0,8200
Canada,67250,High,0,4304
Canada,161980,High,0,29904
Canada,182000,High,0,28700
Canada,183820,High,0,38885
Canada,189960,High,0,-35617.5
Canada,199080,High,0,-18663.75
Canada,218250,High,0,14841
Canada,222000,High,0,7104
Canada,229920,High,0,-14370
Canada,239980,High,0,41073.5
Canada,289920,High,0,-24160
Canada,303480,High,0,-18967.5
Canada,341500,High,0,23222
Canada,354480,High,0,-40617.5
Canada,374000,High,0,23936
Canada,547170,High,0,108381.75
Canada,579150,High,0,91327.5
Canada,582400,High,0,123200
Canada,684320,High,0,234248
Canada,2180,Low,0,959.1999999999998
Canada,2724,Low,0,7845.120000000001
Canada,3885,Low,0,22688.4
Canada,4335,Low,0,12831.599999999999
Canada,6630,Low,0,2559.1800000000003
Canada,8310,Low,0,7811.4
Canada,9150,Low,0,3531.8999999999996
Canada,10460,Low,0,4037.5599999999995
Canada,14255,Low,0,9807.440000000002
Canada,19670,Low,0,8654.8
Canada,20740,Low,0,19080.800000000003
Canada,21255,Low,0,7311.719999999999
Canada,23630,Low,0,11106.099999999999
Canada,26460,Low,0,24343.199999999997
Canada,38505,Low,0,36194.700000000004
Canada,89100,Low,0,1856.25
Canada,110760,Low,0,3461.25
Canada,212880,Low,0,2217.5
Canada,241080,Low,0,5022.5
Canada,245310,Low,0,81612.75
Canada,327480,Low,0,13645
Canada,462280,Low,0,135128
Canada,468500,Low,0,76834
Canada,479000,Low,0,168608
Canada,741520,Low,0,473432
Canada,1285,Medium,0,370.0799999999999
Canada,1794,Medium,0,4807.92
Canada,2440,Medium,0,702.7200000000003
Canada,4095,Medium,0,1122.03
Canada,5652,Medium,0,15373.439999999999
Canada,5675,Medium,0,3427.7000000000007
Canada,6897,Medium,0,38071.44
Canada,6963,Medium,0,18382.32
